epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,1630.35,0.43635,0.30979,1.00819,0.88761,0.88848,0.94443,0.73349,0.94901,0.7258,1.42542,0.0012476,0.0012476,0.0012476
116,1644.36,0.43718,0.30648,1.00774,0.94847,0.875,0.94472,0.74785,0.75008,0.64816,1.25914,0.001241,0.001241,0.001241
117,1657.94,0.43779,0.29558,1.01217,0.95827,0.86113,0.9163,0.71302,0.90016,0.79268,1.39611,0.0012344,0.0012344,0.0012344
118,1671.35,0.44117,0.30916,1.0193,0.94288,0.82528,0.90191,0.58078,1.26117,1.01608,1.64462,0.0012278,0.0012278,0.0012278
119,1684.91,0.44907,0.30635,1.02328,0.97029,0.8375,0.91811,0.72181,0.88304,0.72069,1.37149,0.0012212,0.0012212,0.0012212
120,1698.27,0.43602,0.3028,1.0062,0.94337,0.83295,0.90142,0.70851,0.844,0.96463,1.32476,0.0012146,0.0012146,0.0012146
121,1711.66,0.43649,0.30652,1.01183,0.96709,0.8375,0.93214,0.70577,0.91324,0.81196,1.39958,0.001208,0.001208,0.001208
122,1725.07,0.44854,0.31434,1.01793,0.95008,0.875,0.92027,0.70208,0.87739,0.77765,1.39083,0.0012014,0.0012014,0.0012014
123,1738.48,0.43588,0.30416,1.01833,0.97971,0.825,0.89524,0.70185,0.81251,0.94319,1.31675,0.0011948,0.0011948,0.0011948
124,1751.93,0.41587,0.28936,1.00368,0.94824,0.68707,0.84069,0.58528,1.10253,1.34972,1.51068,0.0011882,0.0011882,0.0011882
125,1765.35,0.42568,0.29622,1.00451,0.98137,0.65835,0.83929,0.58986,1.18682,1.37787,1.65882,0.0011816,0.0011816,0.0011816
126,1778.77,0.42229,0.30046,1.0055,0.98386,0.775,0.87665,0.65229,1.05867,1.03102,1.48531,0.001175,0.001175,0.001175
127,1792.13,0.42552,0.29824,1.001,1,0.87127,0.91905,0.70941,0.8217,0.66584,1.36898,0.0011684,0.0011684,0.0011684
128,1805.55,0.41656,0.2959,1.00432,0.96906,0.78312,0.89433,0.67808,0.95427,1.10989,1.49466,0.0011618,0.0011618,0.0011618
129,1819.01,0.41864,0.29701,1.00205,0.94342,0.83371,0.93189,0.73267,0.856,0.76387,1.38639,0.0011552,0.0011552,0.0011552
130,1832.41,0.41691,0.29627,0.9977,0.94716,0.85,0.91898,0.69033,0.81319,0.67641,1.3916,0.0011486,0.0011486,0.0011486
131,1845.87,0.41119,0.28812,0.98835,0.97278,0.89364,0.94192,0.77875,0.71877,0.61242,1.23352,0.001142,0.001142,0.001142
132,1859.39,0.42178,0.29494,1.00736,0.97134,0.7375,0.86593,0.7031,0.82211,0.96178,1.29287,0.0011354,0.0011354,0.0011354
133,1872.82,0.42465,0.29289,1.00263,0.98021,0.8125,0.89566,0.71164,0.8724,0.88424,1.33483,0.0011288,0.0011288,0.0011288
134,1886.26,0.41527,0.28661,1.00208,0.98254,0.8625,0.94518,0.78285,0.73684,0.63028,1.20474,0.0011222,0.0011222,0.0011222
135,1899.77,0.41235,0.28578,1.00553,0.96029,0.90688,0.94054,0.79465,0.68608,0.56221,1.16339,0.0011156,0.0011156,0.0011156
136,1913.18,0.43083,0.29847,0.99762,0.96654,0.8875,0.91972,0.74854,0.76845,0.72003,1.24445,0.001109,0.001109,0.001109
137,1926.61,0.40749,0.27778,0.98872,0.96162,0.8625,0.92529,0.70444,0.86238,0.7008,1.39574,0.0011024,0.0011024,0.0011024
138,1940.01,0.42924,0.29454,1.00335,0.97037,0.81876,0.89239,0.71147,0.78178,0.79127,1.34688,0.0010958,0.0010958,0.0010958
139,1953.41,0.40366,0.28366,0.99054,0.98526,0.83533,0.90102,0.72339,0.89238,0.78093,1.35329,0.0010892,0.0010892,0.0010892
140,1966.81,0.40538,0.28695,0.99209,0.93397,0.884,0.937,0.75993,0.81244,0.62573,1.29242,0.0010826,0.0010826,0.0010826
141,1980.27,0.41279,0.29021,0.99683,0.86073,0.69531,0.79654,0.55433,1.18649,1.47774,1.70918,0.001076,0.001076,0.001076
142,1993.7,0.40972,0.28439,0.9922,0.97565,0.8375,0.93257,0.74424,0.86553,0.80115,1.37707,0.0010694,0.0010694,0.0010694
143,2007.13,0.40897,0.28866,0.9966,0.9855,0.84931,0.92033,0.68545,0.91432,0.78845,1.39571,0.0010628,0.0010628,0.0010628
144,2020.56,0.39648,0.27633,0.98933,0.97132,0.84669,0.89473,0.6306,1.05162,0.87445,1.48168,0.0010562,0.0010562,0.0010562
145,2033.96,0.40566,0.29274,0.99639,0.95436,0.875,0.90396,0.72067,0.83823,0.70832,1.30607,0.0010496,0.0010496,0.0010496
146,2047.41,0.4012,0.2948,0.99262,0.93424,0.85,0.90381,0.72611,0.83948,0.75456,1.31015,0.001043,0.001043,0.001043
147,2060.83,0.39064,0.28585,0.98683,0.96032,0.8125,0.89483,0.67256,0.91364,0.86919,1.40731,0.0010364,0.0010364,0.0010364
148,2074.27,0.4091,0.2897,0.99028,0.9136,0.79314,0.85934,0.60903,1.07763,0.91573,1.57367,0.0010298,0.0010298,0.0010298
149,2087.71,0.39811,0.27804,0.99119,0.97523,0.8625,0.94624,0.73209,0.83673,0.59038,1.3244,0.0010232,0.0010232,0.0010232
150,2101.19,0.41076,0.28731,0.99854,0.98551,0.84993,0.94238,0.75689,0.8118,0.59245,1.27429,0.0010166,0.0010166,0.0010166
151,2114.78,0.3918,0.27293,0.98544,0.93133,0.84774,0.91696,0.73734,0.80177,0.75969,1.26931,0.00101,0.00101,0.00101
152,2128.12,0.40017,0.28365,0.98935,0.98167,0.66945,0.84553,0.61238,1.06958,1.31903,1.53623,0.0010034,0.0010034,0.0010034
153,2141.46,0.39395,0.27697,0.98453,0.95776,0.85028,0.92767,0.72827,0.9243,0.81947,1.41101,0.0009968,0.0009968,0.0009968
154,2154.75,0.38835,0.27833,0.98768,0.9432,0.8125,0.90824,0.68122,0.9238,0.87187,1.37966,0.0009902,0.0009902,0.0009902
155,2168.09,0.39511,0.28421,0.98875,0.9726,0.875,0.95364,0.73485,0.84536,0.62102,1.34128,0.0009836,0.0009836,0.0009836
156,2181.42,0.38239,0.26845,0.98401,0.97724,0.8625,0.93839,0.77309,0.76896,0.71088,1.2737,0.000977,0.000977,0.000977
157,2194.72,0.3921,0.27291,0.9889,0.94605,0.7625,0.85699,0.67741,0.82679,0.85084,1.35567,0.0009704,0.0009704,0.0009704
158,2207.98,0.3924,0.28166,0.98567,0.93398,0.775,0.85562,0.61996,0.99783,0.93847,1.53673,0.0009638,0.0009638,0.0009638
159,2221.26,0.39067,0.28376,0.9918,0.97181,0.86187,0.9106,0.67953,0.91028,0.68723,1.39605,0.0009572,0.0009572,0.0009572
160,2234.54,0.38288,0.27262,0.99018,0.94291,0.825,0.89466,0.71277,0.84458,0.69427,1.30047,0.0009506,0.0009506,0.0009506
161,2247.84,0.39657,0.28417,0.99887,0.93115,0.84527,0.88841,0.71265,0.79609,0.67539,1.2583,0.000944,0.000944,0.000944
162,2261.19,0.38324,0.26798,0.98684,0.90959,0.7546,0.83266,0.64927,1.04428,1.0635,1.51584,0.0009374,0.0009374,0.0009374
163,2274.49,0.38521,0.2785,0.9868,0.97042,0.82007,0.91128,0.76493,0.80504,0.85285,1.2459,0.0009308,0.0009308,0.0009308
164,2287.71,0.39137,0.27244,0.98491,0.98525,0.83496,0.92634,0.78006,0.73179,0.72019,1.23993,0.0009242,0.0009242,0.0009242
165,2300.97,0.38482,0.27115,0.98806,0.98217,0.85,0.94849,0.77614,0.78939,0.67904,1.2261,0.0009176,0.0009176,0.0009176
166,2314.25,0.38273,0.27209,0.9813,0.95572,0.80933,0.91046,0.72958,0.87355,0.8585,1.33534,0.000911,0.000911,0.000911
167,2327.52,0.38205,0.26979,0.97767,1,0.86099,0.92666,0.78178,0.79916,0.77715,1.25299,0.0009044,0.0009044,0.0009044
168,2340.77,0.38409,0.27253,0.98045,0.94818,0.8375,0.91447,0.72704,0.85806,0.75794,1.3503,0.0008978,0.0008978,0.0008978
169,2354.04,0.39128,0.27208,0.98481,0.93177,0.85,0.89977,0.72431,0.82789,0.80164,1.28773,0.0008912,0.0008912,0.0008912
170,2367.32,0.37803,0.26701,0.97705,0.98481,0.81047,0.90949,0.74296,0.8036,0.70566,1.26849,0.0008846,0.0008846,0.0008846
171,2380.64,0.37947,0.2627,0.97657,1,0.87122,0.93976,0.75772,0.75763,0.59024,1.25889,0.000878,0.000878,0.000878
172,2393.94,0.38248,0.27119,0.98103,0.98222,0.8625,0.92738,0.75542,0.79373,0.63723,1.26817,0.0008714,0.0008714,0.0008714
173,2407.19,0.35369,0.26258,0.97181,0.98504,0.82287,0.9231,0.75422,0.81803,0.71005,1.28785,0.0008648,0.0008648,0.0008648
174,2420.51,0.38039,0.26414,0.97189,0.95885,0.87388,0.9118,0.72525,0.83036,0.68285,1.32565,0.0008582,0.0008582,0.0008582
175,2433.8,0.36483,0.26069,0.9746,0.98604,0.88326,0.91465,0.71943,0.9079,0.74023,1.38424,0.0008516,0.0008516,0.0008516
176,2447.05,0.35606,0.25379,0.9693,0.98609,0.88599,0.92761,0.79173,0.71491,0.64634,1.19921,0.000845,0.000845,0.000845
177,2460.37,0.37611,0.26634,0.97583,0.94299,0.8625,0.90154,0.76529,0.78416,0.7514,1.22084,0.0008384,0.0008384,0.0008384
178,2473.62,0.38336,0.26797,0.98703,0.97908,0.8875,0.91857,0.77322,0.71341,0.6946,1.1832,0.0008318,0.0008318,0.0008318
179,2486.92,0.36481,0.26004,0.9741,0.98507,0.82453,0.911,0.74087,0.75218,0.99767,1.21135,0.0008252,0.0008252,0.0008252
180,2500.21,0.35813,0.25146,0.97158,0.96974,0.8125,0.90846,0.71975,0.87412,1.03831,1.29815,0.0008186,0.0008186,0.0008186
181,2513.5,0.36652,0.26019,0.97965,0.96313,0.8125,0.91768,0.747,0.79433,0.87759,1.25309,0.000812,0.000812,0.000812
